Ticket,Fecha,CodTienda,CodCliente
"S2-13-003-256892","02/09/13 00:00:00","003","007222"
"S2-13-003-256902","02/09/13 00:00:00","003","005264"
"S2-13-003-256907","02/09/13 00:00:00","003","009987"
"S2-13-003-256910","02/09/13 00:00:00","003","006649"
"S2-13-003-256912","02/09/13 00:00:00","003","009987"
"S2-13-003-256928","02/10/13 00:00:00","003","006163"
"S2-13-003-256931","02/10/13 00:00:00","003","006521"
"S2-13-003-256941","02/11/13 00:00:00","003","005264"
"S2-13-003-256945","02/11/13 00:00:00","003","004954"
"S2-13-003-256955","02/12/13 00:00:00","003","005265"
"S2-13-003-256963","02/12/13 00:00:00","003","000570"
"S2-13-003-256968","02/12/13 00:00:00","003","002639"
"S2-13-003-256977","02/12/13 00:00:00","003","006260"
"S2-13-003-256979","02/12/13 00:00:00","003","006377"
"S2-13-003-256983","02/13/13 00:00:00","003","006163"
"S2-13-003-256984","02/13/13 00:00:00","003","006163"
"S2-13-003-256986","02/13/13 00:00:00","003","000069"
"S2-13-003-257005","02/13/13 00:00:00","003","006098"
"S2-13-003-257030","02/14/13 00:00:00","003","000074"
"S2-13-003-257039","02/14/13 00:00:00","003","005265"
"S2-13-003-257040","02/14/13 00:00:00","003","005265"
"S2-13-003-257045","02/14/13 00:00:00","003","001163"
"S2-13-003-257047","02/14/13 00:00:00","003","005430"
"S2-13-003-257049","02/15/13 00:00:00","003","003328"
"S2-13-003-257051","02/15/13 00:00:00","003","008124"
"S2-13-003-257058","02/15/13 00:00:00","003","008656"
"S2-13-003-257059","02/15/13 00:00:00","003","008124"
"S2-13-003-257061","02/15/13 00:00:00","003","003493"
"S2-13-003-257067","02/16/13 00:00:00","003","005317"
"S2-13-003-257070","02/16/13 00:00:00","003","007498"
"S2-13-003-257092","02/17/13 00:00:00","003","000047"
"S2-13-003-257106","02/17/13 00:00:00","003","005896"
"S2-13-003-257123","02/17/13 00:00:00","003","005435"
"S2-13-003-257136","02/18/13 00:00:00","003","003328"
"S2-13-003-257149","02/19/13 00:00:00","003","006163"
"S2-13-003-257163","02/19/13 00:00:00","003","007222"
"S2-13-003-257170","02/19/13 00:00:00","003","005590"
"S2-13-003-257184","02/20/13 00:00:00","003","001424"
"S2-13-003-257199","02/20/13 00:00:00","003","005896"
"S2-13-003-257203","02/20/13 00:00:00","003","001163"
"S2-13-003-257210","02/21/13 00:00:00","003","005265"
"S2-13-003-257217","02/21/13 00:00:00","003","006339"
"S2-13-003-257227","02/21/13 00:00:00","003","005471"
"S2-13-003-257231","02/22/13 00:00:00","003","005265"
"S2-13-003-257236","02/22/13 00:00:00","003","001163"
"S2-13-003-257237","02/22/13 00:00:00","003","005265"
"S2-13-003-257241","02/22/13 00:00:00","003","003328"
"S2-13-003-257246","02/23/13 00:00:00","003","005652"
"S2-13-003-257278","02/23/13 00:00:00","003","000117"
"S2-13-003-257279","02/23/13 00:00:00","003","000047"
"S2-13-003-257289","02/24/13 00:00:00","003","002776"
"S2-13-003-257292","02/24/13 00:00:00","003","001179"
"S2-13-003-257293","02/24/13 00:00:00","003","002639"
"S2-13-003-257298","02/24/13 00:00:00","003","006163"
"S2-13-003-257305","02/25/13 00:00:00","003","006449"
"S2-13-003-257311","02/26/13 00:00:00","003","006163"
"S2-13-003-257312","02/26/13 00:00:00","003","002816"
"S2-13-003-257352","02/27/13 00:00:00","003","001424"
"S2-13-003-257357","02/27/13 00:00:00","003","001017"
"S2-13-003-257358","02/27/13 00:00:00","003","009016"
"S2-13-003-257367","02/27/13 00:00:00","003","005430"
"S2-13-003-257373","02/27/13 00:00:00","003","007250"
"S2-13-003-257379","02/27/13 00:00:00","003","006163"
"S2-13-003-257382","02/28/13 00:00:00","003","000666"
"S2-13-003-257388","02/28/13 00:00:00","003","006467"
"S2-13-003-257405","03/01/13 00:00:00","003","005430"
"S2-13-003-257407","03/01/13 00:00:00","003","009987"
"S2-13-003-257413","03/01/13 00:00:00","003","001424"
"S2-13-003-257416","03/01/13 00:00:00","003","003328"
"S2-13-003-257417","03/01/13 00:00:00","003","003328"
"S2-13-003-257423","03/02/13 00:00:00","003","007222"
"S2-13-003-257426","03/02/13 00:00:00","003","006382"
"S2-13-003-257428","03/02/13 00:00:00","003","009987"
"S2-13-003-257454","03/03/13 00:00:00","003","006163"
"S2-13-003-257462","03/04/13 00:00:00","003","005264"
"S2-13-003-257463","03/04/13 00:00:00","003","005265"
"S2-13-003-257470","03/04/13 00:00:00","003","002877"
"S2-13-003-257479","03/04/13 00:00:00","003","006163"
"S2-13-003-257483","03/05/13 00:00:00","003","008124"
"S2-13-003-257501","03/05/13 00:00:00","003","007052"
"S2-13-003-257515","03/06/13 00:00:00","003","001549"
"S2-13-003-257571","03/09/13 00:00:00","003","000957"
"S2-13-003-257582","03/09/13 00:00:00","003","000047"
"S2-13-003-257585","03/09/13 00:00:00","003","001549"
"S2-13-003-257588","03/10/13 00:00:00","003","000047"
"S2-13-003-257592","03/10/13 00:00:00","003","000959"
"S2-13-003-257604","03/10/13 00:00:00","003","005265"
"S2-13-003-257615","03/11/13 00:00:00","003","001767"
"S2-13-003-257627","03/12/13 00:00:00","003","005430"
"S2-13-003-257629","03/12/13 00:00:00","003","005317"
"S2-13-003-257631","03/12/13 00:00:00","003","007833"
"S2-13-003-257638","03/12/13 00:00:00","003","003245"
"S2-13-003-257642","03/12/13 00:00:00","003","005265"
"S2-13-003-257644","03/12/13 00:00:00","003","000072"
"S2-13-003-257645","03/12/13 00:00:00","003","005470"
"S2-13-003-257649","03/13/13 00:00:00","003","005430"
"S2-13-003-257652","03/13/13 00:00:00","003","005265"
"S2-13-003-257653","03/13/13 00:00:00","003","005144"
"S2-13-003-257662","03/13/13 00:00:00","003","006873"
"S2-13-003-257664","03/13/13 00:00:00","003","005626"
"S2-13-003-257681","03/14/13 00:00:00","003","002635"
"S2-13-003-257690","03/14/13 00:00:00","003","005265"
"S2-13-003-257698","03/15/13 00:00:00","003","006483"
"S2-13-003-257730","03/16/13 00:00:00","003","005180"
"S2-13-003-257733","03/16/13 00:00:00","003","005896"
